uid,variant_number,dt,signup_date
66,0,2019-02-06,2018-07-10
67,0,2019-02-06,2018-03-02
68,0,2019-02-06,2017-05-23
69,0,2019-02-06,2013-08-13
70,0,2019-02-06,2018-09-26
71,0,2019-02-06,2017-01-13
72,0,2019-02-06,2018-09-16
73,0,2019-02-06,2018-02-27
74,0,2019-02-06,2015-08-04
75,0,2019-02-06,2016-11-12
76,0,2019-02-06,2013-05-21
77,0,2019-02-06,2018-07-02
78,0,2019-02-06,2014-08-11
79,0,2019-02-06,2019-01-04
80,0,2019-02-06,2013-10-04
81,0,2019-02-06,2019-01-27
82,0,2019-02-06,2018-10-03
83,0,2019-02-06,2017-05-20
84,0,2019-02-06,2014-01-04
85,0,2019-02-06,2019-02-03
86,0,2019-02-06,2017-12-07
87,0,2019-02-06,2016-04-17
88,0,2019-02-06,2018-05-09
89,0,2019-02-06,2018-06-17
90,0,2019-02-06,2017-02-23
91,0,2019-02-06,2018-07-19
92,0,2019-02-06,2018-12-05
93,0,2019-02-06,2019-01-13
94,0,2019-02-06,2019-02-03
95,0,2019-02-06,2018-12-25
96,0,2019-02-06,2015-12-22
97,0,2019-02-06,2018-08-27
98,0,2019-02-06,2015-06-02
99,0,2019-02-06,2015-09-29
100,0,2019-02-06,2017-01-20
101,0,2019-02-06,2014-03-04
102,0,2019-02-06,2017-04-20
103,0,2019-02-06,2015-12-26
104,0,2019-02-06,2019-01-26
105,0,2019-02-06,2018-08-12
106,0,2019-02-06,2017-07-11
107,0,2019-02-06,2013-03-28
108,0,2019-02-06,2018-12-19
109,0,2019-02-06,2017-06-12
110,0,2019-02-06,2015-10-16
111,0,2019-02-06,2019-02-03
112,0,2019-02-06,2018-07-13
113,0,2019-02-06,2018-12-01
114,0,2019-02-06,2018-08-24
115,0,2019-02-06,2018-02-10
116,0,2019-02-06,2018-06-19
117,0,2019-02-06,2018-11-28
118,0,2019-02-06,2018-12-23
119,0,2019-02-06,2016-03-15
120,0,2019-02-06,2018-12-05
121,0,2019-02-06,2017-07-04
122,0,2019-02-06,2018-12-20
123,0,2019-02-06,2014-02-11
124,0,2019-02-06,2018-12-01
125,0,2019-02-06,2015-12-02
126,0,2019-02-06,2019-01-28
127,0,2019-02-06,2017-09-22
128,0,2019-02-06,2019-01-24
129,0,2019-02-06,2016-10-06
130,0,2019-02-06,2016-11-02
131,0,2019-02-06,2018-12-23
132,0,2019-02-06,2019-01-27
133,0,2019-02-06,2019-01-15
134,0,2019-02-06,2015-05-26
135,0,2019-02-06,2019-01-08
136,0,2019-02-06,2018-05-19
137,0,2019-02-06,2019-01-31
138,0,2019-02-06,2019-01-08
139,0,2019-02-06,2013-07-11
140,0,2019-02-06,2017-11-17
141,0,2019-02-06,2018-05-06
142,0,2019-02-06,2018-08-13
143,0,2019-02-06,2016-08-30
144,0,2019-02-06,2015-02-19
145,0,2019-02-06,2016-11-27
146,0,2019-02-06,2013-02-12
147,0,2019-02-06,2017-10-03
148,0,2019-02-06,2016-09-16
149,0,2019-02-06,2017-02-06
150,0,2019-02-06,2017-02-04
151,0,2019-02-06,2018-06-26
152,0,2019-02-06,2015-06-09
153,0,2019-02-06,2018-09-29
154,0,2019-02-06,2018-09-13
155,0,2019-02-06,2019-01-18
156,0,2019-02-06,2011-01-15
157,0,2019-02-06,2018-09-26
158,0,2019-02-06,2016-03-15
159,0,2019-02-06,2016-12-28
160,0,2019-02-06,2018-11-02
161,0,2019-02-06,2018-01-31
162,0,2019-02-06,2016-11-12
163,0,2019-02-06,2015-10-18
164,0,2019-02-06,2015-07-27
165,0,2019-02-06,2019-01-21
166,0,2019-02-06,2018-05-27
167,0,2019-02-06,2015-12-28
168,0,2019-02-06,2019-01-14
169,0,2019-02-06,2019-01-23
170,0,2019-02-06,2018-09-22
171,0,2019-02-06,2013-11-20
172,0,2019-02-06,2018-09-23
173,0,2019-02-06,2018-05-11
174,0,2019-02-06,2018-07-25
175,0,2019-02-06,2018-03-25
176,0,2019-02-06,2013-08-27
177,0,2019-02-06,2019-01-09
178,0,2019-02-06,2018-11-10
179,0,2019-02-06,2018-04-10
180,0,2019-02-06,2016-02-09
181,0,2019-02-06,2019-01-16
182,0,2019-02-06,2017-12-12
183,0,2019-02-06,2018-03-26
184,0,2019-02-06,2017-07-05
185,0,2019-02-06,2010-04-12
186,0,2019-02-06,2015-08-02
187,0,2019-02-06,2017-12-28
188,0,2019-02-06,2018-10-06
189,0,2019-02-06,2019-01-10
190,0,2019-02-06,2013-05-20
191,0,2019-02-06,2018-10-11
192,0,2019-02-06,2017-06-19
193,0,2019-02-06,2018-11-17
194,0,2019-02-06,2018-03-07
195,0,2019-02-06,2018-12-29
196,0,2019-02-06,2018-04-06
197,0,2019-02-06,2016-10-12
198,0,2019-02-06,2015-11-24
199,0,2019-02-06,2017-02-18
200,0,2019-02-06,2013-07-28
201,0,2019-02-06,2016-02-10
202,0,2019-02-06,2018-09-20
203,0,2019-02-06,2018-07-17
204,0,2019-02-06,2018-01-22
205,0,2019-02-06,2019-01-31
206,0,2019-02-06,2018-12-03
207,0,2019-02-06,2016-12-29
208,0,2019-02-06,2016-11-28
209,0,2019-02-06,2015-02-01
210,0,2019-02-06,2018-10-12
211,0,2019-02-06,2018-05-14
212,0,2019-02-06,2017-01-07
213,0,2019-02-06,2019-01-17
214,0,2019-02-06,2017-03-22
215,0,2019-02-06,2015-12-18
216,0,2019-02-06,2018-10-14
217,0,2019-02-06,2019-01-22
218,0,2019-02-06,2013-10-15
219,0,2019-02-06,2018-05-30
220,0,2019-02-06,2017-06-05
221,0,2019-02-06,2017-12-25
222,0,2019-02-06,2018-06-30
223,0,2019-02-06,2018-07-25
224,0,2019-02-06,2018-06-05
225,0,2019-02-06,2014-02-22
226,0,2019-02-06,2016-06-18
227,0,2019-02-06,2018-03-04
228,0,2019-02-06,2018-07-02
229,0,2019-02-06,2016-05-21
230,0,2019-02-06,2019-01-23
231,0,2019-02-06,2018-04-25
232,0,2019-02-06,2015-12-25
233,0,2019-02-06,2015-10-18
234,0,2019-02-06,2013-04-22
235,0,2019-02-06,2018-03-08
236,0,2019-02-06,2013-06-16
237,0,2019-02-06,2017-08-29
238,0,2019-02-06,2016-10-20
239,0,2019-02-06,2018-09-13
240,0,2019-02-06,2019-01-12
241,0,2019-02-06,2018-08-12
242,0,2019-02-06,2018-10-18
243,0,2019-02-06,2017-04-24
244,0,2019-02-06,2016-11-01
245,0,2019-02-06,2018-06-28
246,0,2019-02-06,2016-02-06
247,0,2019-02-06,2017-10-18
248,0,2019-02-06,2018-05-20
249,0,2019-02-06,2019-01-11
250,0,2019-02-06,2018-07-06
251,0,2019-02-06,2018-02-26
252,0,2019-02-06,2019-01-05
253,0,2019-02-06,2016-05-07
254,0,2019-02-06,2018-08-19
255,0,2019-02-06,2018-05-07
256,0,2019-02-06,2016-08-02
257,0,2019-02-06,2018-06-27
258,0,2019-02-06,2018-05-28
259,0,2019-02-06,2018-08-10
260,0,2019-02-06,2018-11-05
261,0,2019-02-06,2018-08-06
262,0,2019-02-06,2016-04-15
263,0,2019-02-06,2015-10-26
264,0,2019-02-06,2016-09-26
265,0,2019-02-06,2018-07-31
266,0,2019-02-06,2019-01-20
267,0,2019-02-06,2018-08-29
268,0,2019-02-06,2016-06-17
269,0,2019-02-06,2019-01-11
270,0,2019-02-06,2016-05-08
271,0,2019-02-06,2018-07-18
272,0,2019-02-06,2019-01-22
273,0,2019-02-06,2014-02-09
274,0,2019-02-06,2014-01-30
275,0,2019-02-06,2019-01-22
276,0,2019-02-06,2013-10-31
277,0,2019-02-06,2017-07-17
278,0,2019-02-06,2013-07-26
279,0,2019-02-06,2017-08-13
280,0,2019-02-06,2017-09-01
281,0,2019-02-06,2019-01-05
282,0,2019-02-06,2018-04-29
283,0,2019-02-06,2018-11-03
284,0,2019-02-06,2019-01-24
285,0,2019-02-06,2019-01-21
286,0,2019-02-06,2018-07-07
287,0,2019-02-06,2018-05-08
288,0,2019-02-06,2018-09-01
289,0,2019-02-06,2018-08-21
290,0,2019-02-06,2016-04-21
291,0,2019-02-06,2019-01-26
292,0,2019-02-06,2018-11-06
293,0,2019-02-06,2016-01-09
294,0,2019-02-06,2017-05-14
295,0,2019-02-06,2019-01-19
296,0,2019-02-06,2015-05-18
297,0,2019-02-06,2018-09-18
298,0,2019-02-06,2018-12-23
299,0,2019-02-06,2016-09-30
300,0,2019-02-06,2015-08-30
301,0,2019-02-06,2018-03-19
302,0,2019-02-06,2017-09-30
303,0,2019-02-06,2017-11-08
304,0,2019-02-06,2016-07-10
305,0,2019-02-06,2013-08-15
306,0,2019-02-06,2016-10-28
307,0,2019-02-06,2014-08-17
308,0,2019-02-06,2018-04-25
309,0,2019-02-06,2018-09-11
310,0,2019-02-06,2017-04-10
311,0,2019-02-06,2016-11-29
312,0,2019-02-06,2018-03-20
313,0,2019-02-06,2016-06-26
314,0,2019-02-06,2019-01-31
315,0,2019-02-06,2013-06-22
316,0,2019-02-06,2016-05-24
317,0,2019-02-06,2017-12-02
318,0,2019-02-06,2018-07-10
319,0,2019-02-06,2013-08-02
320,0,2019-02-06,2012-12-28
321,0,2019-02-06,2019-01-17
322,0,2019-02-06,2019-01-16
323,0,2019-02-06,2015-03-15
324,0,2019-02-06,2018-10-05
325,0,2019-02-06,2017-09-16
326,0,2019-02-06,2018-02-09
327,0,2019-02-06,2018-10-25
328,0,2019-02-06,2015-05-29
329,0,2019-02-06,2015-04-26
330,0,2019-02-06,2016-03-14
331,0,2019-02-06,2018-10-03
332,0,2019-02-06,2019-01-21
333,0,2019-02-06,2013-10-25
334,0,2019-02-06,2015-12-22
335,0,2019-02-06,2018-04-28
336,0,2019-02-06,2017-05-22
337,0,2019-02-06,2017-02-21
338,0,2019-02-06,2019-01-03
339,0,2019-02-06,2017-05-18
340,0,2019-02-06,2017-06-18
341,0,2019-02-06,2019-01-11
342,0,2019-02-06,2014-01-03
343,0,2019-02-06,2017-01-16
344,0,2019-02-06,2013-06-08
345,0,2019-02-06,2015-08-19
346,0,2019-02-06,2017-09-19
347,0,2019-02-06,2010-12-13
348,0,2019-02-06,2018-11-11
349,0,2019-02-06,2019-01-26
350,0,2019-02-06,2017-08-09
351,0,2019-02-06,2015-05-07
352,0,2019-02-06,2019-02-02
353,0,2019-02-06,2015-05-06
354,0,2019-02-06,2017-03-21
355,0,2019-02-06,2012-09-27
356,0,2019-02-06,2018-02-02
357,0,2019-02-06,2015-12-04
358,0,2019-02-06,2017-04-23
359,0,2019-02-06,2015-07-11
360,0,2019-02-06,2015-02-09
361,0,2019-02-06,2017-02-16
362,0,2019-02-06,2018-01-22
363,0,2019-02-06,2018-05-10
364,0,2019-02-06,2018-06-30
365,0,2019-02-06,2018-01-22
366,0,2019-02-06,2016-10-04
367,0,2019-02-06,2018-08-31
368,0,2019-02-06,2015-09-19
369,0,2019-02-06,2016-03-29
370,0,2019-02-06,2016-08-29
371,0,2019-02-06,2017-10-23
372,0,2019-02-06,2019-01-13
373,0,2019-02-06,2018-06-23
374,0,2019-02-06,2019-01-19
375,0,2019-02-06,2017-08-18
376,0,2019-02-06,2019-01-10
377,0,2019-02-06,2017-10-01
378,0,2019-02-06,2015-10-04
379,0,2019-02-06,2018-07-13
380,0,2019-02-06,2018-07-27
381,0,2019-02-06,2016-09-22
382,0,2019-02-06,2015-03-20
383,0,2019-02-06,2018-12-29
384,0,2019-02-06,2013-07-30
385,0,2019-02-06,2018-02-05
386,0,2019-02-06,2018-10-05
387,0,2019-02-06,2016-01-27
388,0,2019-02-06,2013-12-30
389,0,2019-02-06,2016-01-06
390,0,2019-02-06,2018-06-11
391,0,2019-02-06,2015-07-09
392,0,2019-02-06,2018-06-24
393,0,2019-02-06,2016-11-07
394,0,2019-02-06,2016-02-19
395,0,2019-02-06,2018-06-26
396,0,2019-02-06,2018-09-21
397,0,2019-02-06,2016-12-21
398,0,2019-02-06,2015-04-05
399,0,2019-02-06,2018-03-01
400,0,2019-02-06,2018-08-17
401,0,2019-02-06,2017-01-20
402,0,2019-02-06,2015-02-15
403,0,2019-02-06,2018-05-01
404,0,2019-02-06,2018-05-29
405,0,2019-02-06,2018-11-15
406,0,2019-02-06,2018-03-03
407,0,2019-02-06,2017-09-28
408,0,2019-02-06,2013-01-23
409,0,2019-02-06,2018-12-03
410,0,2019-02-06,2015-11-07
411,0,2019-02-06,2018-07-23
412,0,2019-02-06,2018-12-08
413,0,2019-02-06,2018-12-17
414,0,2019-02-06,2016-12-05
415,0,2019-02-06,2018-12-20
416,0,2019-02-06,2018-07-03
417,0,2019-02-06,2017-06-22
418,0,2019-02-06,2016-11-13
419,0,2019-02-06,2016-06-26
420,0,2019-02-06,2016-08-11
421,0,2019-02-06,2015-05-29
422,0,2019-02-06,2015-05-14
423,0,2019-02-06,2015-05-08
424,0,2019-02-06,2015-12-31
425,0,2019-02-06,2018-02-26
426,0,2019-02-06,2018-12-20
427,0,2019-02-06,2018-05-13
428,0,2019-02-06,2019-01-23
429,0,2019-02-06,2017-11-06
430,0,2019-02-06,2018-08-15
431,0,2019-02-06,2018-11-13
432,0,2019-02-06,2019-02-02
433,0,2019-02-06,2018-03-18
434,0,2019-02-06,2013-09-17
435,0,2019-02-06,2015-05-02
436,0,2019-02-06,2015-06-15
437,0,2019-02-06,2013-07-28
438,0,2019-02-06,2016-12-20
439,0,2019-02-06,2016-10-14
440,0,2019-02-06,2017-03-31
441,0,2019-02-06,2018-07-01
442,0,2019-02-06,2015-12-03
443,0,2019-02-06,2016-03-24
444,0,2019-02-06,2018-02-03
445,0,2019-02-06,2014-06-28
446,0,2019-02-06,2018-05-16
447,0,2019-02-06,2013-06-30
448,0,2019-02-06,2018-11-20
449,0,2019-02-06,2017-04-12
450,0,2019-02-06,2018-12-25
451,0,2019-02-06,2017-09-06
452,0,2019-02-06,2018-01-05
453,0,2019-02-06,2016-11-24
454,0,2019-02-06,2018-01-29
455,0,2019-02-06,2015-09-11
456,0,2019-02-06,2017-12-20
457,0,2019-02-06,2017-04-21
458,0,2019-02-06,2013-10-08
459,0,2019-02-06,2018-09-01
460,0,2019-02-06,2018-12-10
461,0,2019-02-06,2018-08-23
462,0,2019-02-06,2013-11-25
463,0,2019-02-06,2019-01-24
464,0,2019-02-06,2019-01-15
465,0,2019-02-06,2018-10-10
466,0,2019-02-06,2018-08-09
467,0,2019-02-06,2018-05-08
468,0,2019-02-06,2019-01-15
469,0,2019-02-06,2017-01-23
470,0,2019-02-06,2018-01-07
471,0,2019-02-06,2019-01-09
472,0,2019-02-06,2018-01-15
473,0,2019-02-06,2017-04-02
474,0,2019-02-06,2014-01-12
475,0,2019-02-06,2018-12-03
476,0,2019-02-06,2017-04-10
477,0,2019-02-06,2016-09-22
478,0,2019-02-06,2018-05-29
479,0,2019-02-06,2016-12-11
480,0,2019-02-06,2018-07-21
481,0,2019-02-06,2017-07-08
482,0,2019-02-06,2018-12-11
483,0,2019-02-06,2018-07-26
484,0,2019-02-06,2019-01-13
485,0,2019-02-06,2019-01-10
486,0,2019-02-06,2017-02-09
487,0,2019-02-06,2018-08-05
488,0,2019-02-06,2018-09-29
489,0,2019-02-06,2018-09-26
490,0,2019-02-06,2018-09-10
491,0,2019-02-06,2017-10-10
492,0,2019-02-06,2013-10-08
493,0,2019-02-06,2016-10-17
494,0,2019-02-06,2017-12-08
495,0,2019-02-06,2018-08-04
496,0,2019-02-06,2018-12-10
497,0,2019-02-06,2016-07-17
498,0,2019-02-06,2018-12-21
499,0,2019-02-06,2018-01-12
500,0,2019-02-06,2018-04-05
501,0,2019-02-06,2018-11-17
502,0,2019-02-06,2018-10-23
503,0,2019-02-06,2017-10-23
504,0,2019-02-06,2018-01-12
505,0,2019-02-06,2019-01-22
506,0,2019-02-06,2014-02-27
507,0,2019-02-06,2011-11-07
508,0,2019-02-06,2018-04-16
509,0,2019-02-06,2015-11-13
510,0,2019-02-06,2016-09-07
511,0,2019-02-06,2013-03-12
512,0,2019-02-06,2016-11-24
513,0,2019-02-06,2018-07-23
514,0,2019-02-06,2017-11-05
515,0,2019-02-06,2018-04-22
516,0,2019-02-06,2018-06-05
517,0,2019-02-06,2013-07-27
518,0,2019-02-06,2018-10-04
519,0,2019-02-06,2017-11-10
520,0,2019-02-06,2016-01-17
521,0,2019-02-06,2018-07-27
522,0,2019-02-06,2016-11-10
523,0,2019-02-06,2013-07-26
524,0,2019-02-06,2019-02-01
525,0,2019-02-06,2016-01-05
526,0,2019-02-06,2015-02-04
527,0,2019-02-06,2018-03-24
528,0,2019-02-06,2018-03-24
529,0,2019-02-06,2018-08-21
530,0,2019-02-06,2013-09-05
531,0,2019-02-06,2015-05-18
532,0,2019-02-06,2017-12-07
533,0,2019-02-06,2013-11-04
534,0,2019-02-06,2016-01-30
535,0,2019-02-06,2018-05-24
536,0,2019-02-06,2017-01-23
537,0,2019-02-06,2013-07-23
538,0,2019-02-06,2014-01-04
539,0,2019-02-06,2018-04-23
540,0,2019-02-06,2017-09-22
541,0,2019-02-06,2014-07-10
542,0,2019-02-06,2018-03-27
543,0,2019-02-06,2018-07-02
544,0,2019-02-06,2013-07-05
545,0,2019-02-06,2018-02-21
546,0,2019-02-06,2018-12-06
547,0,2019-02-06,2014-05-21
548,0,2019-02-06,2015-04-17
549,0,2019-02-06,2018-02-21
550,0,2019-02-06,2018-10-18
551,0,2019-02-06,2016-12-11
552,0,2019-02-06,2018-11-09
553,0,2019-02-06,2014-03-03
554,0,2019-02-06,2018-07-28
555,0,2019-02-06,2019-01-05
556,0,2019-02-06,2014-02-04
557,0,2019-02-06,2019-01-19
558,0,2019-02-06,2018-11-22
559,0,2019-02-06,2018-11-23
560,0,2019-02-06,2016-09-12
561,0,2019-02-06,2018-09-20
562,0,2019-02-06,2019-01-17
563,0,2019-02-06,2019-01-09
564,0,2019-02-06,2016-05-11
565,0,2019-02-06,2019-02-02
566,0,2019-02-06,2016-11-14
567,0,2019-02-06,2018-09-15
568,0,2019-02-06,2016-10-02
569,0,2019-02-06,2017-02-09
570,0,2019-02-06,2016-12-30
571,0,2019-02-06,2017-11-22
572,0,2019-02-06,2017-06-12
573,0,2019-02-06,2018-01-13
574,0,2019-02-06,2019-01-17
575,0,2019-02-06,2017-02-23
576,0,2019-02-06,2019-01-30
577,0,2019-02-06,2019-02-02
578,0,2019-02-06,2018-03-25
579,0,2019-02-06,2016-01-25
580,0,2019-02-06,2017-05-22
581,0,2019-02-06,2018-07-10
582,0,2019-02-06,2016-01-12
583,0,2019-02-06,2017-07-15
584,0,2019-02-06,2019-01-06
585,0,2019-02-06,2016-09-08
586,0,2019-02-06,2017-07-06
587,0,2019-02-06,2017-03-15
588,0,2019-02-06,2019-01-11
589,0,2019-02-06,2017-08-26
590,0,2019-02-06,2015-09-10
591,0,2019-02-06,2015-01-25
592,0,2019-02-06,2018-07-22
593,0,2019-02-06,2018-12-09
594,0,2019-02-06,2018-05-02
595,0,2019-02-06,2018-11-05
596,0,2019-02-06,2016-08-20
597,0,2019-02-06,2017-12-10
598,0,2019-02-06,2016-06-26
599,0,2019-02-06,2018-07-16
600,0,2019-02-06,2018-11-01
601,0,2019-02-06,2016-08-24
602,0,2019-02-06,2018-12-31
603,0,2019-02-06,2018-07-22
604,0,2019-02-06,2014-02-24
605,0,2019-02-06,2015-10-07
606,0,2019-02-06,2015-08-21
607,0,2019-02-06,2019-01-04
608,0,2019-02-06,2017-04-27
609,0,2019-02-06,2018-01-23
610,0,2019-02-06,2015-06-29
611,0,2019-02-06,2017-06-28
612,0,2019-02-06,2018-07-23
613,0,2019-02-06,2018-11-16
614,0,2019-02-06,2018-02-15
615,0,2019-02-06,2019-01-09
616,0,2019-02-06,2016-04-28
617,0,2019-02-06,2015-09-05
618,0,2019-02-06,2017-05-29
619,0,2019-02-06,2018-02-08
620,0,2019-02-06,2018-05-13
621,0,2019-02-06,2016-06-02
622,0,2019-02-06,2018-06-23
623,0,2019-02-06,2015-11-05
624,0,2019-02-06,2016-12-04
625,0,2019-02-06,2018-12-08
626,0,2019-02-06,2016-08-13
627,0,2019-02-06,2018-05-27
628,0,2019-02-06,2012-01-09
629,0,2019-02-06,2018-09-20
630,0,2019-02-06,2013-08-02
631,0,2019-02-06,2018-07-20
632,0,2019-02-06,2014-10-21
633,0,2019-02-06,2016-09-24
634,0,2019-02-06,2018-10-13
635,0,2019-02-06,2017-04-29
636,0,2019-02-06,2015-03-27
637,0,2019-02-06,2017-02-08
638,0,2019-02-06,2016-08-09
639,0,2019-02-06,2013-04-22
640,0,2019-02-06,2019-01-08
641,0,2019-02-06,2016-06-03
642,0,2019-02-06,2018-10-06
643,0,2019-02-06,2015-03-30
644,0,2019-02-06,2012-11-28
645,0,2019-02-06,2019-01-17
646,0,2019-02-06,2019-01-22
647,0,2019-02-06,2015-09-10
648,0,2019-02-06,2016-07-28
649,0,2019-02-06,2016-05-08
650,0,2019-02-06,2018-07-21
651,0,2019-02-06,2018-11-18
652,0,2019-02-06,2019-01-10
653,0,2019-02-06,2019-01-10
654,0,2019-02-06,2018-05-20
655,0,2019-02-06,2019-01-17
656,0,2019-02-06,2019-01-30
657,0,2019-02-06,2012-05-28
658,0,2019-02-06,2018-12-26
659,0,2019-02-06,2019-01-07
660,0,2019-02-06,2017-01-06
661,0,2019-02-06,2018-07-26
662,0,2019-02-06,2016-01-03
663,0,2019-02-06,2017-07-29
664,0,2019-02-06,2018-07-16
665,0,2019-02-06,2017-01-29
666,0,2019-02-06,2018-10-03
667,0,2019-02-06,2017-07-27
668,0,2019-02-06,2016-07-10
669,0,2019-02-06,2018-08-20
670,0,2019-02-06,2017-02-13
671,0,2019-02-06,2018-06-08
672,0,2019-02-06,2017-12-19
673,0,2019-02-06,2018-08-07
674,0,2019-02-06,2018-03-19
675,0,2019-02-06,2018-01-16
676,0,2019-02-06,2018-06-17
677,0,2019-02-06,2017-08-04
678,0,2019-02-06,2015-12-14
679,0,2019-02-06,2019-01-14
680,0,2019-02-06,2018-08-21
681,0,2019-02-06,2013-12-20
682,0,2019-02-06,2016-04-29
683,0,2019-02-06,2017-01-26
684,0,2019-02-06,2018-08-17
685,0,2019-02-06,2016-01-04
686,0,2019-02-06,2015-05-23
687,0,2019-02-06,2017-11-15
688,0,2019-02-06,2013-05-10
689,0,2019-02-06,2018-03-21
690,0,2019-02-06,2015-05-25
691,0,2019-02-06,2016-12-19
692,0,2019-02-06,2016-04-10
693,0,2019-02-06,2013-11-16
694,0,2019-02-06,2018-03-24
695,0,2019-02-06,2018-07-07
696,0,2019-02-06,2019-02-03
697,0,2019-02-06,2016-06-09
698,0,2019-02-06,2017-02-21
699,0,2019-02-06,2018-04-05
700,0,2019-02-06,2019-01-14
701,0,2019-02-06,2017-09-19
702,0,2019-02-06,2016-10-18
703,0,2019-02-06,2013-12-14
704,0,2019-02-06,2019-01-05
705,0,2019-02-06,2018-03-28
706,0,2019-02-06,2019-01-09
707,0,2019-02-06,2016-04-08
708,0,2019-02-06,2018-02-06
709,0,2019-02-06,2015-10-14
710,0,2019-02-06,2018-04-24
711,0,2019-02-06,2018-07-18
712,0,2019-02-06,2018-05-31
713,0,2019-02-06,2016-12-09
714,0,2019-02-06,2018-03-20
715,0,2019-02-06,2015-04-21
716,0,2019-02-06,2017-08-20
717,0,2019-02-06,2018-08-31
718,0,2019-02-06,2015-12-22
719,0,2019-02-06,2018-12-18
720,0,2019-02-06,2019-01-08
721,0,2019-02-06,2018-10-01
722,0,2019-02-06,2018-01-11
723,0,2019-02-06,2018-09-17
724,0,2019-02-06,2016-01-25
725,0,2019-02-06,2015-03-04
726,0,2019-02-06,2016-02-20
727,0,2019-02-06,2019-01-13
728,0,2019-02-06,2018-10-11
729,0,2019-02-06,2017-02-25
730,0,2019-02-06,2017-05-15
731,0,2019-02-06,2016-03-10
732,0,2019-02-06,2018-06-15
733,0,2019-02-06,2015-10-07
734,0,2019-02-06,2017-03-04
735,0,2019-02-06,2017-02-06
736,0,2019-02-06,2017-11-17
737,0,2019-02-06,2018-09-24
738,0,2019-02-06,2018-11-24
739,0,2019-02-06,2017-04-24
740,0,2019-02-06,2018-04-17
741,0,2019-02-06,2016-04-27
742,0,2019-02-06,2015-04-30
743,0,2019-02-06,2017-06-21
744,0,2019-02-06,2019-01-28
745,0,2019-02-06,2017-11-25
746,0,2019-02-06,2017-06-05
747,0,2019-02-06,2017-07-19
748,0,2019-02-06,2013-11-23
749,0,2019-02-06,2018-02-11
750,0,2019-02-06,2019-01-17
751,0,2019-02-06,2018-10-30
752,0,2019-02-06,2016-04-03
753,0,2019-02-06,2011-01-11
754,0,2019-02-06,2018-12-14
755,0,2019-02-06,2017-02-02
756,0,2019-02-06,2017-04-13
757,0,2019-02-06,2018-06-08
758,0,2019-02-06,2016-03-30
759,0,2019-02-06,2017-03-27
760,0,2019-02-06,2017-09-14
761,0,2019-02-06,2018-01-08
762,0,2019-02-06,2018-12-23
763,0,2019-02-06,2015-02-20
764,0,2019-02-06,2019-01-10
765,0,2019-02-06,2016-12-23
766,0,2019-02-06,2016-11-30
767,0,2019-02-06,2017-04-21
768,0,2019-02-06,2013-07-24
769,0,2019-02-06,2019-01-21
770,0,2019-02-06,2015-01-05
771,0,2019-02-06,2017-11-13
772,0,2019-02-06,2019-01-31
773,0,2019-02-06,2019-01-08
774,0,2019-02-06,2016-08-29
775,0,2019-02-06,2016-11-16
